Time,Vin,Resistance1,Inductance,Capacitance,Diode_Vf,Vout
0.0,10.0007026065096,5.0004834455751,0.00050014405765,5.00049394185221e-05,0.7,9.19831805732968
0.0,20.0001100734154,15.0001628135181,0.0025000404632731,0.0001500009430563,0.7,16.4587919781646
5.5556172846365e-07,20.0003570570749,15.0003309367269,0.0025000409109598,0.0001500022669004,0.7,16.4590510884695
1.1111234569273e-06,20.0003728052572,15.0004904836049,0.0025001218846988,0.0001500044030238,0.7,16.4588335922768
1.66668518539095e-06,20.0004834455751,15.0018219111584,0.0025001850940177,0.000150005277727,0.7,16.458705157717
2.2222469138546e-06,20.0004939418522,15.0018531748029,0.0025001941306194,0.0001500082411905,0.7,16.4587053995875
2.77780864231825e-06,20.0006682857374,15.001921889326,0.0025003039470976,0.0001500088194143,0.7,16.4586599884066
3.3333703707819e-06,20.0007026065096,15.0022472567288,0.0025007936225956,0.0001500091880644,0.7,16.457570784514
3.88893209924555e-06,20.0007099319345,15.0022604439616,0.0025008434419113,0.0001500113950689,0.7,16.457571029635
4.4444938277092e-06,20.0007173419522,15.0024365466864,0.0025008973382633,0.0001500131445671,0.7,16.4573532866517
5.00005555617285e-06,20.0007202882501,15.0027987467174,0.0025013923042127,0.0001500133332259,0.7,16.4562643257057
5.000500050005e-06,10.0008901598344,5.00070993193454,0.0005008371088372,5.00180243906552e-05,0.7,9.19851061049218
5.5556172846365e-06,20.0007393357705,15.0029647503511,0.0025014632817787,0.0001500138704221,0.7,16.4560468275241
6.11117901310015e-06,20.0008901598344,15.003224825926,0.0025015427317987,0.0001500162858536,0.7,16.4562199649604
6.6667407415638e-06,20.0010335697382,15.0032827960013,0.0025016789942906,0.0001500163218447,0.7,16.4558705079679
7.22230247002744e-06,20.0012306428386,15.0033436962722,0.0025017303189542,0.0001500172699919,0.7,16.4560430435561
7.7778641984911e-06,20.0012464333805,15.0034387416025,0.0025018248802636,0.0001500203555718,0.7,16.4558252992879
8.33342592695474e-06,20.0013254354545,15.0034953018511,0.002501864274112,0.0001500227870803,0.7,16.4556938204276
8.88898765541839e-06,20.0013954819079,15.0036565718178,0.0025019278024151,0.0001500245930698,0.7,16.4557805735107
9.44454938388204e-06,20.0014178653383,15.0037372413179,0.0025019482280753,0.0001500265834514,0.7,16.4557806773146
1.00001111123457e-05,20.0015224957556,15.0037653693978,0.0025019996840906,0.0001500291147565,0.7,16.4556491990577
1.000100010001e-05,10.0023106519942,5.00073933577054,0.0005009997953337,5.00224208849422e-05,0.7,9.19990852984641
1.05556728408093e-05,20.0016841388304,15.0040606758212,0.0025020656992295,0.0001500308988031,0.7,16.4556044647462
1.1111234569273e-05,20.0017721812399,15.0041119171519,0.0025020786412779,0.0001500322713003,0.7,16.4556907320415
1.16667962977366e-05,20.0018024390655,15.0041471834777,0.002502091308923,0.0001500346474878,0.7,16.4556907320415
1.22223580262003e-05,20.0020346923025,15.0042700835788,0.0025022932574114,0.0001500348867625,0.7,16.4554277566345
1.27779197546639e-05,20.0021216179609,15.0043572803787,0.0025023935257388,0.0001500352432056,0.7,16.4552963688422
1.33334814831276e-05,20.0021400900576,15.0044851827642,0.0025024452930739,0.0001500355978902,0.7,16.4552960698387
1.38890432115912e-05,20.0022420884942,15.0045267273432,0.0025024709716798,0.0001500376141365,0.7,16.455164870953
1.44446049400549e-05,20.0023106519942,15.004567163967,0.0025024894117057,0.0001500377815222,0.7,16.4552513787334
1.50001666685185e-05,20.0024584597678,15.0046581190432,0.0025025776521436,0.0001500391977002,0.7,16.4552061421677
1.5001500150015e-05,10.0026085517053,5.00132543545446,0.0005010164089044,5.00300483192277e-05,0.7,9.20020847171522
1.55557283969822e-05,20.0026085517053,15.0050430749771,0.0025026032962559,0.0001500427820299,0.7,16.4552931329367
1.61112901254458e-05,20.0026636350473,15.0050677719404,0.0025026333460262,0.0001500430314645,0.7,16.4553796395265
1.66668518539095e-05,20.0030048319228,15.0052481475847,0.0025026530668644,0.0001500455289285,0.7,16.4554207571336
1.72224135823731e-05,20.0031275102459,15.0053261597274,0.0025026999031862,0.0001500456266161,0.7,16.4555072627418
1.77779753108368e-05,20.0032609634012,15.0054535168019,0.0025028210840655,0.0001500465794113,0.7,16.4554622557652
1.83335370393004e-05,20.0033246503738,15.0055979814405,0.0025029970378489,0.0001500492027873,0.7,16.4550264790575
1.88890987677641e-05,20.0034146221814,15.0056312835843,0.002503332172449,0.0001500498900167,0.7,16.4544581418453
1.94446604962277e-05,20.0034839140918,15.0059576854573,0.0025033733482722,0.0001500503650305,0.7,16.4543279103102
2.00002222246914e-05,20.0035252073649,15.0060655991247,0.0025035635368934,0.0001500504746724,0.7,16.4538921277361
2.000200020002e-05,10.0032609634012,5.00152249575565,0.0005010439708282,5.00408161063195e-05,0.7,9.20090815291566
2.0555783953155e-05,20.0036562376331,15.0062148681738,0.0025035964464908,0.0001500509121131,0.7,16.4540648741008
2.11113456816187e-05,20.0037582218939,15.0063831361689,0.0025036546463738,0.0001500527366663,0.7,16.4539335957995
2.16669074100823e-05,20.0039710590674,15.0064362767254,0.0025037357349629,0.0001500533106618,0.7,16.4541055246516
2.2222469138546e-05,20.0039942811379,15.0065115731375,0.0025037427846902,0.0001500533929724,0.7,16.4541063364372
2.27780308670096e-05,20.004081610632,15.0066415943792,0.0025039957021415,0.0001500549303676,0.7,16.4535387704257
2.33335925954733e-05,20.0041855441862,15.0068265152285,0.0025041078083568,0.0001500583772131,0.7,16.4534075873685
2.38891543239369e-05,20.0043738947468,15.007150106081,0.0025041092534465,0.0001500587190682,0.7,16.4535810490378
2.44447160524006e-05,20.0044947098674,15.0078233835602,0.002504191002089,0.0001500595542267,0.7,16.4534501582356
2.50002777808642e-05,20.0046139824407,15.0079998972039,0.0025042773300772,0.0001500595748055,0.7,16.4533194387248
2.5002500250025e-05,10.0034146221814,5.00375822189394,0.0005011148951747,5.00437389474681e-05,0.7,9.20100826828558
2.55558395093279e-05,20.0049312568409,15.0083795002941,0.0025042930313351,0.0001500606334748,0.7,16.4535785617687
2.61114012377915e-05,20.0049989766686,15.0090671147888,0.0025043920916153,0.0001500613432468,0.7,16.4534490611754
2.66669629662552e-05,20.0050820445222,15.0094511732556,0.0025044882719963,0.0001500633627661,0.7,16.4533182424773
2.72225246947188e-05,20.005219854141,15.0094545689471,0.002504645210499,0.0001500633857722,0.7,16.4531858708654
2.77780864231825e-05,20.0052237535694,15.009488588261,0.0025046530861608,0.0001500648675313,0.7,16.452968424678
2.83336481516461e-05,20.0055744758736,15.0095458346569,0.0025047146778232,0.0001500650871657,0.7,16.4533129034497
2.88892098801098e-05,20.0056656092915,15.0095957541275,0.0025047154969275,0.0001500662042327,0.7,16.4533999630264
2.94447716085734e-05,20.0058477577345,15.0096525030156,0.0025047567479513,0.0001500667371748,0.7,16.4532684110111
3.00003333370371e-05,20.0059394354384,15.009751731325,0.002504922410798,0.000150068005718,0.7,16.45313684769
3.000300030003e-05,10.0036562376331,5.0039710590674,0.0005012219832989,5.00449470986743e-05,0.7,9.20130708267384
3.05558950655007e-05,20.0061099164947,15.0098023087353,0.0025051707471371,0.0001500681152041,0.7,16.4526546192464
3.11114567939644e-05,20.0062103061561,15.0098576816919,0.0025051775871234,0.0001500685040972,0.7,16.4527416876625
3.1667018522428e-05,20.0062318153238,15.0106989242849,0.0025053864805396,0.0001500714876152,0.7,16.4523069527055
3.22225802508917e-05,20.0062422230766,15.0108173678133,0.0025053884924047,0.0001500716447307,0.7,16.4523071979626
3.27781419793553e-05,20.0064248547682,15.010854655476,0.0025053913844724,0.0001500718841234,0.7,16.4524799019849
3.3333703707819e-05,20.0065574615166,15.0109251049261,0.0025054239224013,0.0001500753556371,0.7,16.4526530673209
3.38892654362826e-05,20.0065691862831,15.0118592733557,0.0025054959829577,0.0001500761555635,0.7,16.4524374539129
3.44448271647463e-05,20.0065738506679,15.0119530386175,0.0025055002626962,0.0001500767494606,0.7,16.4524376956792
3.50003888932099e-05,20.0065866758611,15.0119918492686,0.0025055357921495,0.0001500768695615,0.7,16.4524376956792
3.5003500350035e-05,10.0052237535694,5.00493125684086,0.0005012420612312,5.00785995525576e-05,0.7,9.20280682971674
3.55559506216736e-05,20.0066207973946,15.011996831537,0.0025055664568257,0.0001500790642269,0.7,16.4522196570166
3.61115123501372e-05,20.0066896029454,15.0122629598392,0.0025056469952525,0.0001500794127955,0.7,16.4523066116476
3.66670740786009e-05,20.0069510397208,15.0124449172703,0.0025056682202674,0.0001500811473521,0.7,16.4523474961986
3.72226358070645e-05,20.0069541459798,15.0125472886894,0.0025057273003515,0.0001500812285066,0.7,16.4523477381284
3.77781975355282e-05,20.0070738971834,15.0126991897433,0.0025057590029494,0.0001500854913778,0.7,16.4522165055728
3.83337592639918e-05,20.0071554831753,15.0127544872415,0.0025058119091407,0.0001500857643253,0.7,16.4523029739416
3.88893209924555e-05,20.0074373219914,15.0128017107789,0.0025058485437359,0.0001500858304907,0.7,16.4524754271365
3.94448827209191e-05,20.0074395328622,15.0131553910742,0.0025059522119208,0.000150088117381,0.7,16.4520402995529
4.00004444493828e-05,20.0075884824688,15.0131680146145,0.0025059727169091,0.0001500900405327,0.7,16.4522127489084
4.000400040004e-05,10.0065866758611,5.0065574615166,0.0005012484446153,5.00994316353792e-05,0.7,9.20420702123805
4.05560061778464e-05,20.0075991740827,15.0132806287613,0.0025059892527927,0.0001500908227895,0.7,16.4522129907585
4.11115679063101e-05,20.0078599552558,15.0132837047882,0.002506024499989,0.0001500914301658,0.7,16.4524716671624
4.16671296347737e-05,20.0080861820596,15.0135011305026,0.0025061064249681,0.0001500917630041,0.7,16.4524265417702
4.22226913632374e-05,20.008115767647,15.013516995254,0.0025061684823789,0.000150092609115,0.7,16.4522084836493
4.2778253091701e-05,20.0084251238633,15.0135306995128,0.0025062497529882,0.0001500933258211,0.7,16.4524671495556
4.33338148201647e-05,20.0088957060108,15.0138527614983,0.0025063092376092,0.0001500935341079,0.7,16.4526811692231
4.38893765486283e-05,20.0090459885306,15.0139062170255,0.0025064132406282,0.0001500961749394,0.7,16.4525494228553
4.4444938277092e-05,20.0090518130854,15.0141070969705,0.0025064835470801,0.0001500966754304,0.7,16.4524180615483
4.50005000055556e-05,20.0097721278742,15.0142886603209,0.0025067512703242,0.0001500978736207,0.7,16.4523678540444
4.5004500450045e-05,10.0069510397208,5.00695414597979,0.0005013138372566,5.01083897344761e-05,0.7,9.20460642521173
4.55560617340193e-05,20.0099431635379,15.0143737134392,0.002506761345763,0.0001500982289556,0.7,16.4524543121767
4.61116234624829e-05,20.0099941811675,15.0146180783905,0.0025068175565164,0.0001500983688489,0.7,16.4525410152738
4.66671851909466e-05,20.0100556214273,15.0146602219295,0.0025068546893254,0.0001501000429555,0.7,16.452408774314
4.72227469194102e-05,20.0100887850701,15.0147100879939,0.0025069363188629,0.0001501013176364,0.7,16.452408774314
4.77783086478739e-05,20.0101277659079,15.0147937338183,0.0025071453985921,0.0001501022340133,0.7,16.4519734790705
4.83338703763375e-05,20.0101673373839,15.0148480782783,0.0025072213288629,0.0001501068773157,0.7,16.4518417129237
4.88894321048012e-05,20.0101924190358,15.0148938462597,0.0025072849506117,0.0001501094418899,0.7,16.4516232562388
4.94449938332648e-05,20.0102148637409,15.0148944885307,0.0025072888937175,0.0001501115333933,0.7,16.4516232562388
5.00005555617285e-05,20.0104741189319,15.0149100043607,0.0025073581237829,0.0001501140099239,0.7,16.4516644242516
5.000500050005e-05,10.0080861820596,5.00904598853059,0.0005014147794366,5.01126859507781e-05,0.7,9.20570583514625
5.05561172901921e-05,20.0104822150545,15.0150956775168,0.00250743224821,0.000150115876817,0.7,16.4516650084712
5.11116790186558e-05,20.0108382646885,15.015138019541,0.002507472440933,0.0001501161239153,0.7,16.4517055537463
5.16672407471194e-05,20.0108389734476,15.0151857769645,0.0025075221615807,0.000150117103952,0.7,16.4517057959668
5.22228024755831e-05,20.0108863140116,15.0153553196888,0.0025075311473046,0.0001501177138638,0.7,16.4517924944486
5.27783642040467e-05,20.0108977454012,15.0158874348395,0.002507658255483,0.0001501200622983,0.7,16.4513575366071
5.33339259325104e-05,20.0111254019798,15.0160149023233,0.0025077494858233,0.0001501202873726,0.7,16.4515301903516
5.3889487660974e-05,20.0112685950778,15.0160239142243,0.0025078316791654,0.0001501214881045,0.7,16.451483885522
5.44450493894377e-05,20.0112863457631,15.0160935649452,0.0025079041080278,0.0001501232763206,0.7,16.4512660299542
5.50006111179013e-05,20.0113699925084,15.0163316929079,0.0025079485831457,0.0001501240191368,0.7,16.451353355671
5.5005500550055e-05,10.0099941811675,5.01270162667721,0.000501431096635,5.01147172358152e-05,0.7,9.20760656478489
5.5556172846365e-05,20.0113913494142,15.0163502774566,0.0025080261721007,0.0001501241784858,0.7,16.4511355127289
5.61117345748286e-05,20.0114717235815,15.0167063820312,0.0025081351276543,0.0001501257668131,0.7,16.4510044470077
5.66672963032923e-05,20.0115105712911,15.016927983512,0.0025081434799911,0.0001501275990267,0.7,16.4510049378941
