step,L_uH,r_1_mOhm,C_uF,r_C_mOhm,avg_vout,ripple_vout,std_vout,min_vout,max_vout,delta_avg_vout,delta_ripple_vout,delta_std_vout,health_index,RUL,is_anomaly,label,fault_type,sim_success,healthy_avg_vout,healthy_ripple_vout,healthy_std_vout
1,0.500487993231736,5.0016869512619,199.892351221254,3.00260169647289,3.64963851573773,0.142905258247862,0.0310066860372914,3.59293148806725,3.73583674631511,-1.1429355253334e-06,-7.36054764867156e-05,-1.72081320802542e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
2,0.499351276261416,5.00458694294573,199.800781180677,2.99843035790494,3.649484846727,0.142743094409505,0.0309987710560235,3.59269744619249,3.735440540602,-0.000154811946261102,-0.000235769314844259,-2.51231133481487e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
3,0.499704250020114,5.009221948185,200.035320325724,3.00226553980703,3.6494999264737,0.142951607329913,0.0310177623830107,3.59272792937096,3.73567953670087,-0.000139732199560871,-2.725639443657e-05,-6.13178636096542e-06,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
4,0.49944469932247,4.99659547059866,200.363384449836,2.99962849994916,3.64970854677476,0.143277042724524,0.0310699783248815,3.59287810949453,3.73615515221905,6.88881015054044e-05,0.000298179000174592,4.60841555098707e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
5,0.49966949449277,5.00152975457534,200.00283386528,2.99982134816862,3.64959194137764,0.142955660291039,0.0310233257024652,3.59281057365278,3.73576623394382,-4.77172956130367e-05,-2.32034333103037e-05,-5.68466906401832e-07,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
6,0.499857548585268,4.99967606572054,199.918188430842,2.99615443553135,3.64961444122223,0.1428997396997,0.0310188561351998,3.59285623579434,3.73575597549404,-2.52174510313452e-05,-7.91240246491576e-05,-5.03803417181356e-06,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
7,0.500045900007626,5.00136902395969,200.200076637768,2.99759601210507,3.64966322052423,0.143145421016484,0.0310485127806536,3.59290469053816,3.73605011155464,2.35618509734081e-05,0.000166557292134772,2.46186112819492e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
8,0.499520750295326,4.99836841574067,199.573306488116,3.00121193184165,3.64953909873671,0.1425810654532,0.0309746257712244,3.59276999121095,3.73535105666415,-0.000100559936545785,-0.000397798271148719,-4.92683981472668e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
9,0.500413505447952,4.99920206387056,200.495739125921,3.00461722815622,3.64978391412262,0.143420401475521,0.0310767494617284,3.59303224847265,3.73645264994817,0.000144255449365804,0.00044153775117195,5.28552923567439e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
10,0.499887595578728,4.99342666178139,199.828455650183,3.00119506189924,3.64968485544935,0.142854025206609,0.0310084680256443,3.5929198679208,3.73577389312741,4.5196776096823e-05,-0.000124838517740589,-1.54261437272721e-05,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
11,0.500554320236429,4.99767930869533,199.995640626811,2.99735981897702,3.64971528681583,0.143013095172783,0.0310277360597109,3.5930082567143,3.73602135188708,7.56281425715599e-05,3.42314484336192e-05,3.84189033928936e-06,0,200,0,healthy,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
