step,L_uH,r_1_mOhm,C_uF,r_C_mOhm,avg_vout,ripple_vout,std_vout,min_vout,max_vout,delta_avg_vout,delta_ripple_vout,delta_std_vout,health_index,RUL,is_anomaly,label,fault_type,sim_success,healthy_avg_vout,healthy_ripple_vout,healthy_std_vout
11,0.499974944939456,5.00150330363266,199.979955951565,3.00150330363266,3.64961430593671,0.142953903006036,0.0310186660245702,3.59285845458979,3.73581235759583,-2.53527365492445e-05,-2.49607183135936e-05,-5.22814480145156e-06,0.000334067473925281,39,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
12,0.499974939927942,5.00150360432346,199.979951942354,3.00150360432346,3.64961430086608,0.142953898010448,0.0310186649792398,3.5928584494314,3.73581234744185,-2.53578071789384e-05,-2.49657139010928e-05,-5.22919013182938e-06,0.000334134294101562,38,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
13,0.499974934915427,5.0015039050744,199.979947932341,3.0015039050744,3.64961429579442,0.142953893013894,0.0310186639337397,3.59285844427215,3.73581233728605,-2.53628788415838e-05,-2.49707104549302e-05,-5.23023563193253e-06,0.000334201127643818,37,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
14,0.499974929901908,5.00150420588549,199.979943921527,3.00150420588549,3.64961429072173,0.142953888016307,0.0310186628880075,3.59285843911166,3.73581232712796,-2.53679515278549e-05,-2.4975708041719e-05,-5.23128136408965e-06,0.000334267974553493,36,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
15,0.499974924887387,5.00150450675676,199.97993990991,3.00150450675675,3.64961428564805,0.142953883017976,0.0310186618421631,3.59285843395031,3.73581231696829,-2.5373025205333e-05,-2.49807063732455e-05,-5.23232720848338e-06,0.000334334834834471,35,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
16,0.499974919871863,5.0015048076882,199.979935897491,3.0015048076882,3.64961428057333,0.142953878017801,0.0310186607959763,3.59285842878805,3.73581230680585,-2.53780999246445e-05,-2.49857065477421e-05,-5.23337339528723e-06,0.00033440170848853,34,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
17,0.499974914855336,5.00150510867983,199.979931884269,3.00150510867983,3.6496142754976,0.142953873017349,0.0310186597496971,3.59285842362431,3.73581229664166,-2.53831756547029e-05,-2.49907069997946e-05,-5.23441967452409e-06,0.000334468595518667,33,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
18,0.499974909837805,5.00150540973167,199.979927870244,3.00150540973167,3.64961427042088,0.142953868016015,0.0310186587032495,3.59285841845961,3.73581228647562,-2.53882523790772e-05,-2.49957083338082e-05,-5.23546612210546e-06,0.000334535495927657,32,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
19,0.499974904819271,5.00150571084373,199.979923855417,3.00150571084373,3.64961426534316,0.142953863012887,0.0310186576564396,3.59285841329413,3.73581227630702,-2.53933300986553e-05,-2.50007114619422e-05,-5.23651293202199e-06,0.000334602409718165,31,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
20,0.499974899799733,5.00150601201602,199.979919839786,3.00150601201602,3.64961426026436,0.14295385800959,0.0310186566095295,3.59285840812759,3.73581226613718,-2.53984088947057e-05,-2.50057147592742e-05,-5.23755984213267e-06,0.000334669336892524,30,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
21,0.499974894779191,5.00150631324854,199.979915823353,3.00150631324854,3.64961425518459,0.142953853005218,0.0310186555622906,3.59285840295979,3.73581225596501,-2.54034886637555e-05,-2.5010719131302e-05,-5.23860708103244e-06,0.000334736277453729,29,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
22,0.499974889757645,5.00150661454132,199.979911806116,3.00150661454132,3.64961425010379,0.142953847998927,0.0310186545148822,3.59285839779144,3.73581224579037,-2.54085694706419e-05,-2.50157254222394e-05,-5.23965448946326e-06,0.000334803231404335,28,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
